Pin#, PORT IO, Function, Direction
17,PA0, ,
18,PA1, ,
19,PA2,SSI0CLK,
20,PA3,SSI0FSS,
21,PA4, ,
22,PA5,SSI0TX,
23,PA6, ,
24,PA7, ,
45,PB0, ,
46,PB1, ,
47,PB2, ,Output
48,PB3, ,
58,PB4,AIN10,
57,PB5,AIN11,
1,PB6, ,
4,PB7, ,Input
52,PC0,TCK/SWCLK,
51,PC1,TMS/SWDIO,
50,PC2,TDI,
49,PC3,TDO/SWO,
16,PC4, ,
15,PC5, ,
14,PC6, ,
13,PC7, ,
61,PD0,AIN7,
62,PD1,AIN6,
63,PD2,AIN5,
64,PD3,AIN4,
43,PD4, ,
44,PD5, ,
53,PD6,U2RX,
10,PD7,U2TX,
9,PE0,AIN3,
8,PE1,AIN2,
7,PE2,AIN1,
6,PE3,AIN0,
59,PE4,AIN9,
60,PE5, ,Output
28,PF0, ,Output
29,PF1, ,
30,PF2, ,
31,PF3, ,
5,PF4, ,
